time,ax,ay,az,ax_g,ay_g,az_g,rot_x,rot_y,rot_,heart
12:37:18:773,0.029104232788085938,0.04835033416748047,0.1350860595703125,3.565305471420288,4.07258415222168,8.133204460144043,0.6299999952316284,-1.2599999904632568,0.6299999952316284,0.0
12:37:18:813,0.19173836708068848,0.10376501083374023,0.0640401840209961,3.775874137878418,4.153940200805664,8.078168869018555,0.9800000190734863,-1.75,2.5899999141693115,0.0
12:37:18:854,0.038535118103027344,-0.014615058898925781,0.08760261535644531,3.6323046684265137,4.0319061279296875,8.123632431030273,1.3300000429153442,-2.0299999713897705,1.0499999523162842,0.0
12:37:18:892,0.0671992301940918,0.06296396255493164,0.01839733123779297,3.6777684688568115,4.125226020812988,8.059026718139648,1.8899999856948853,-2.870000123977661,1.5399999618530273,0.0
12:37:18:934,0.0824732780456543,-0.05299854278564453,-0.0675954818725586,3.713660717010498,3.996013641357422,7.956134796142578,2.0999999046325684,-2.309999942779541,0.42000001668930054,0.0
12:37:18:972,0.0659785270690918,0.06479978561401367,0.07609367370605469,3.713660717010498,4.130012035369873,8.118846893310547,1.4700000286102295,-2.240000009536743,1.399999976158142,0.0
12:37:19:13,0.010669231414794922,-0.04578733444213867,0.018761634826660156,3.6610186100006104,4.0079779624938965,8.066205024719238,1.3300000429153442,-2.240000009536743,4.130000114440918,0.0
12:37:19:51,0.09276270866394043,0.022711753845214844,-0.10750341415405273,3.7663028240203857,4.082155227661133,7.913064479827881,-0.2800000011920929,0.9100000262260437,0.6299999952316284,0.0
12:37:19:94,-0.04638814926147461,0.029654979705810547,0.04416656494140625,3.6155548095703125,4.096512317657471,8.075776100158691,0.14000000059604645,2.380000114440918,2.309999942779541,0.0
12:37:19:152,0.4108262062072754,-0.10070276260375977,-0.6250858306884766,4.175475597381592,3.94097900390625,7.2502522468566895,-3.5,5.460000038146973,-1.6800000667572021,0.0
12:37:19:191,-0.04270529747009277,0.12234878540039062,1.1059942245483398,3.7112677097320557,4.194617748260498,9.257830619812012,3.430000066757202,-3.7100000381469727,-8.960000038146973,0.0
12:37:19:205,0.03666353225708008,0.048108577728271484,0.13057804107666016,3.799802303314209,4.132404804229736,8.315058708190918,-4.059999942779541,-5.599999904632568,-1.1200000047683716,0.0
12:37:19:262,0.01018834114074707,-0.04765510559082031,-0.8852095603942871,3.775874137878418,4.0247273445129395,7.077969074249268,-0.2800000011920929,-0.42000001668930054,3.009999990463257,0.0
